ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU
post,after,na,pas,sonra,sonra,nakon,després,human sa,po,pambuyo,dopu à,apre,nakon,efter,po,po,tar éis,eftir,después,pärast,ondoren,jälkeen,après,nei,an dèidh,ar ôl,despois,bayan,ma hope o,tom qab,utána,mgbe,setelah,dopo,sawise,piştî,post,pēc,po,no,selepas,rehefa,wara,i muri i,na,etter,po,depois de,după,ina ua mavae,ka mor'a,pashure,ka dib,baada,efter,saatos,pagkatapos,sonra,so'ng,sau,emva,lẹhin,ngemuva
en,in,in,në,ilə,ilə,u,a,sa,v,mu,in,nan,u,i,v,v,i,í,en,sisse,in,sisään,dans,yn,ann an,yn,en,a,i loko o,nyob rau hauv,ban ben,na,di,nel,ing,li,apud,uz,į,an,dalam,in,fl,i roto i,in,i,w,dentro,în,i,ka,mu,in,katika,i,di,sa,içinde,yilda,trong,ngo,ni,e
al,to,om,në,qədər,qədər,u,per,sa,na,kuti,à,,do,til,na,za,chun,að,a,et,to,että,à,nei,gu,i,para,to,i ka,rau,nak nek,ka,untuk,per,kanggo,ber,ut,līdz,į,ze,kepada,ny,li,ki,naar,til,do,para,la,i,ho,kuti,si ay u,kwa,till,ka,sa,için,uchun,đến,ukuba,to,ukuze
ofte,often,dikwels,shpesh,tez-tez,tez-tez,često,sovint,sa kasagaran,často,zambiri,spissu,souvan,često,tit,často,pogosto,Is minic,oft,a menudo,sageli,askotan,usein,souvent,faak,gu tric a ',aml,frecuentemente,sau da yawa,pinepine,feem ntau,gyakran,mgbe,sering,spesso,asring,gelek car,saepe,bieži,dažnai,oft,sering,matetika,spiss,maha,vaak,ofte,często,frequentemente,de multe ori,masani ona,hangata e,kazhinji,inta badan,mara nyingi,ofta,remen,madalas,sıklıkla,ko'pincha,thường,bavame,igba,ngokuvamile
ne,not,nie,nuk,yox,yox,ne,no,dili,ne,osati,ùn,pa,ne,ikke,nie,ne,ní,ekki,no,mitte,ez,ei,ne pas,net,chan eil,nid,non,ba,ole,tsis,nem,bụghị,tidak,non,ora,ne,non,nav,ne,net,tidak,tsy,mhux,e kore,niet,ikke,nie,não,nu,lē,ha,kwete,ma,si,inte,teu,hindi,değil,yo'q,không phải,hayi,ko,hhayi
inter,between,tussen,ndërmjet,arasında,arasında,između,entre,sa taliwala sa,mezi,pakati,trà,ant,između,mellem,medzi,med,idir,milli,Entre,vahel,arteko,välillä,entre,tusken,eadar,rhwng,entre,tsakanin,waena o,ntawm,között,n'etiti,antara,fra,antarane,navber,inter,starp,tarp,tëschent,antara,eo,bejn,i waenganui i,tussen,mellom,pomiędzy,entre,între,i le va o,pakeng,pakati,inta u dhaxaysa,kati,mellan,antawis,sa pagitan ng,arasında,o'rtasida,giữa,phakathi,laarin,phakathi
anstataŭ ,instead of,in plaas van,në vend të,əvəzinə,əvəzinə,umjesto,en lloc de,sa baylo nga sa,namísto,m'malo mwa,invece di,olye pou yo,umjesto,i stedet for,namiesto,namesto,in ionad,í staðinn fyrir,en lugar de,selle asemel,ordez,sijasta,au lieu de,yn plak fan,an àite,yn lle,en vez de,maimakon,ma kahi o,es tsis txhob ntawm,ahelyett,kama,dari pada,invece di,tinimbang,di şona,pro,tā vietā,vietoj,amplaz vun,bukannya,raha tokony ho,minflok,hei utu o,in plaats van,i stedet for,zamiast,ao invés de,in loc de,nai lo le,sebakeng sa,panzvimbo ye,halkii,badala ya,istället för,sabalikna,sa halip,onun yerine,ning o'rniga,thay vì,ngaphandle kwe,dipo,esikhundleni se
da,of,van,të,of,of,od,de,sa,z,wa,di,nan,od,af,z,za,de,af,de,kohta,of,of,de,fan,de,o,de,na,o ka,ntawm,"nak,-nek",nke,dari,di,saka,ji,autem,no,apie,vun,daripada,ny,ta,o,van,av,z,do,de,a,ya,pamusoro,of,ya,av,ti,ng,nın-nin,ning,của,of,ti,ka
de,of,van,të,of,of,od,de,sa,z,wa,di,nan,od,af,z,za,de,af,de,kohta,of,of,de,fan,de,o,de,na,o ka,ntawm,"nak,-nek",nke,dari,di,saka,ji,autem,no,apie,vun,daripada,ny,ta,o,van,av,z,do,de,a,ya,pamusoro,of,ya,av,ti,ng,nın-nin,ning,của,of,ti,ka
dum,while,terwyl,derisa,isə,isə,dok,mentre,samtang,zatímco,pamene,mentri,pandan y ap,dok,mens,zatiaľ čo,medtem,cé,en,mientras,kuigi,bitartean,sillä aikaa,tandis que,wylst,fhad 'sa,tra,mentres,yayin da,ana,thaum,míg,mgbe,sementara,mentre,nalika,demek,dum,kamēr,o,iwwerdeems,manakala,raha mbola,filwaqt li,ia,terwijl,samtidig som,podczas,enquanto,in timp ce,aʻo,ha,apo,halka,wakati,medan,waktu,habang,süre,paytda,trong khi,kanti,nigba ti,ngenkathi
el,from,van,nga,etibarən,etibarən,od,de,gikan sa,z,kuchokera,da a,soti nan,iz,fra,z,iz,ó,frá,desde,pärit,batetik,alkaen,de,fan,bho,o,de,daga,mai,los ntawm,tól től,si,dari,a partire dal,saka,ji,ex,no,nuo,aus,daripada,avy amin'ny,minn,i,van,fra,od,a partir de,din,mai,ho tswa,kubva,ka,kutoka,från,ti,mula sa,itibaren,dan,từ,ukusuka,lati,kusukela
ĝis,up,up,lart,up,up,gore,fins,sa,nahoru,mpaka,su,moute,gore,op,hore,navzgor,suas,upp,arriba,üles,ireki,ylös,en haut,op,suas,i fyny,superior,up,i,mus,fel,elu,naik,su,munggah,bi jorve,autem,augšup,aukštyn,weider,sehingga,ny,up,ake,omhoog,opp,w górę,acima,sus,aʻe,ho fihlela,vakakwira,up,up,upp,ka luhur,pataas,yukarı,yuqoriga,lên,phezulu,soke,kuze
je,at,by,në,at,at,u,a,sa,na,pa,à,nan,na,på,na,ob,ag,á,a,juures,tan,at,à,by,aig,yn,en,a,ma,ntawm,nál nél,na,di,a,ing,ba,apud,pie,prie,um,di,amin'ny,fil,i,Bij,på,w,em,la,i,ka,pa,at,katika,på,di,sa,en,da,tại,e,ni,ngesikhathi
krom,except,behalwe,përveç,istisna,istisna,izuzeti,excepte,gawas,až na,kulandira,francu,eksepte,osim,undtagen,leč,izvzamejo,eisceadh,undanskilja,excepto,except,ezik,paitsi,sauf,útsein,ach a-mhàin,eithrio,excepto,fãce,koe nae,tsuas yog,kivéve,ma e wezụga,kecuali,tranne,kajaba,bê,nisi,izņēmuma kārtā,išimties tvarka,ausser,kecuali,afa-tsy,ħlief,kore ai,behalve,unntatt,z wyjątkiem,exceto,cu exceptia,SEI,Ntle,kusiya,ahayn,ila,bortsett från,kajabi,maliban,dışında,faqat,ngoại trừ,ngaphandle,ayafi,ngaphandle
kun,with,met,me,ilə,ilə,sa,amb,uban sa,s,ndi,cù,ak,s,med,s,z,le,með,con,koos,batera,kanssa,avec,mei,le,gyda,con,tare da,me ka,nrog,val vel,na,dengan,con,karo,bi,apud,ar,su,mat,dengan,amin'ny,ma,ki,met,med,z,com,cu,i,le,ne,la,kwa,med,jeung,sa,ile,bilan,với,nge,pẹlu,nge
malgraŭ,despite,ten spyte van,pavarësisht nga,rəğmən,rəğmən,uprkos,tot i,bisan pa,i přes,ngakhale,nunustanti,malgre,bez obzira na,på trods af,napriek,Kljub,in ainneoin,þrátt,A pesar de,vaatamata,arren,huolimatta,malgré,nettsjinsteande,a dh'aindeoin,er gwaethaf,a pesar de,duk da,mamua,txawm,annak ellenére,n'agbanyeghị,meskipun,nonostante,senadyan,herçi,non obstante,neskatoties,nepaisant,trotz,walaupun,na dia eo aza,minkejja,ahakoa,ondanks,på tross av,pomimo,apesar de,în ciuda,e ui lava i,ho sa tsotellehe,pasinei,inkastoo,licha,trots,sanajan,sa kabila ng,rağmen,qaramasdan,mặc dù,naphezu,pelu,naphezu
per,by,deur,nga,ilə,ilə,po,per,pinaagi sa,podle,ndi,da,pa,po,ved,podľa,jo,le,með,por,kõrval,arabera,mennessä,par,troch,le bhith a ',gan,por,da,ma,los ntawm,által,site,oleh,di,dening,ji,per,līdz,iki,vun,oleh,ny,billi,e,door,av,przez,por,de,i,ke,kubudikidza,by,na,förbi,ku,sa pamamagitan ng,tarafından,tomonidan,qua,yi,nipa,ngu
por,for,vir,për,üçün,üçün,za,per,alang sa,pro,chifukwa,di,pou,za,til,pre,za,do,fyrir,para,jaoks,egiteko,varten,pour,foar,airson,am,para,don,no ka,rau,mert,maka,untuk,per,kanggo,bo,quia,priekš,dėl,fir,untuk,for,għall,hoki,voor,til,dla,para,pentru,mo,bakeng sa,nokuti,"waayo,",kwa,för,keur,para sa,için,uchun,vì,for,fun,ngoba
pri,about,oor,për,haqqında,haqqında,oko,Sobre,mahitungod sa,o,za,circa,sou,oko,om,o,o,faoi,um,acerca de,umbes,buruz,noin,sur,oer,mu dheidhinn,am,sobre,game da,e pili ana i,txog,ról ről,banyere,tentang,di,bab,ji dor,fere,par,apie,iwwer,mengenai,momba ny,dwar,e pā ana ki,over,Om,o,sobre,despre,e uiga i,mabapi,pamusoro,ku saabsan,kuhusu,handla om,kira-kira,tungkol sa,hakkında,atrofida,trong khoảng,ngayo,nipa,mayelana
pro,because,omdat,sepse,çünki,çünki,jer,perquè,tungod kay,protože,chifukwa,perchè,paske,jer,fordi,pretože,Ker,mar,því,porque,sest,delako,koska,car,omdat,oir,achos,porque,saboda,"no ka mea,",vim hais tias,mert,n'ihi na,karena,perché,amarga,bo,quod,jo,nes,well,kerana,satria,minħabba,no te mea,omdat,fordi,bo,Porque,deoarece,auā,hobane,nekuti,"maxaa yeelay,",kwa sababu,eftersom,margi,dahil sa,Çünkü,chunki,bởi vì,ngenxa,nitori,ngoba
sen,without,sonder,pa,olmadan,olmadan,bez,sense,walay,bez,popanda,senza,san yo pa,bez,uden,bez,brez,gan,án,sin,ilma,gabe,ilman,sans pour autant,sûnder,gun,heb,sen,ba tare da,me ka,tsis muaj,nélkül,enweghị,tanpa,senza,tanpa,bê,sine,bez,be,ouni,tanpa,tsy misy,mingħajr,kahore,zonder,uten,bez,sem,fără,e aunoa ma,ntle,pasina,oo aan,bila,utan,tanpa,wala,olmadan,holda,không có,ngaphandle,lai,ngaphandle
sub,under,onder,nën,altında,altında,pod,sota,ilalum,pod,pansi,sottu,anba,"pod, ispod",under,pod,Spodaj,faoi,undir,debajo,all,beherako,alla,en dessous de,ûnder,fo,dan,baixo,a karkashin,ma lalo o,nyob rau hauv,alatt,n'okpuru,dibawah,sotto,ing,binê,sub,zem,pagal,ënner,di bawah,ambany,taħt,i raro i,onder,under,pod,debaixo,sub,i lalo,tlas'a,pasi,under,chini ya,under,di handap,sa ilalim,altında,ostida,Dưới,phantsi,labẹ,ngaphansi
sur,on,op,në,haqqında,haqqında,na,a,sa,na,pa,nantu,sou,na,på,na,na,ar,á,en,peal,buruzko,päällä,sur,op,air a ',ar,en,a kan,ma,rau,tovább,on,di,su,ing,li,in,uz,apie,op,pada,amin'ny,fuq,i runga i,Aan,på,na,em,pe,i,ka,pamusoro,on,juu ya,på,on,sa,üzerinde,haqida,trên,on,on,ku
super,over,oor,mbi,artıq,artıq,više,sobre,sa ibabaw sa,přes,pa,più,sou,nad,over,cez,več,níos mó,yfir,terminado,üle,gorako,yli,plus de,oer,thairis,dros,sobre,a kan,no,tshaj,felett,n'elu,lebih,al di sopra di,liwat,ser,super,vairāk,per,iwwer,lebih,ny,fuq,ki runga,over-,over,nad,sobre,peste,i luga,tse fetang,pamusoro,ka badan,zaidi,över,di luhur,sa ibabaw,bitmiş,ustida,kết thúc,phezu,lori,phezu
antaŭ ,before,voor,para,əvvəl,əvvəl,prije,abans,sa wala pa,před,patsogolo,nanzu,anvan,prije,Før,pred,pred,roimh,áður,antes de,enne,aurretik,ennen,avant,foar,mus,cyn,antes,kafin,mua,ua ntej,előtt,tupu,sebelum,prima,sadurunge,berî,ante,pirms,prieš,virun,sebelum,alohan'ny,qabel,i mua i,voordat,før,przed,antes,inainte de,aʻo leʻi,pele,pamberi,ka hor,kabla,innan,saencan,bago,önce,oldin,trước,ngaphambi kokuba,ṣaaju ki o to,ngaphambi
ĉe,at,by,në,at,at,u,a,sa,na,pa,à,nan,na,på,na,ob,ag,á,a,juures,tan,at,à,by,aig,yn,en,a,ma,ntawm,nál nél,na,di,a,ing,ba,apud,pie,prie,um,di,amin'ny,fil,i,Bij,på,w,em,la,i,ka,pa,at,katika,på,di,sa,en,da,tại,e,ni,ngesikhathi
ekster,out,uit,jashtë,out,out,napolje,fora,gikan sa,ven,kunja,fora,soti,van,ud,von,ven,as,út,fuera,välja,out,ulos,en dehors,út,a-mach,allan,fóra,daga,mai,tawm,ki,si,di luar,su,metu,derve,de,ārā,iš,eraus,keluar,avy,barra,i roto i,uit,ute,na zewnątrz,Fora,afară,i fafo,tsoa,panze,out,nje,ut,kaluar,sa,dışarı,tashqarida,ngoài,ngaphandle,jade,ukuphuma
kontraŭ ,against,teen,kundër,qarşı,qarşı,protiv,contra,batok sa,proti,ndi,contru à,kont,protiv,mod,proti,proti,in aghaidh,gegn,en contra,vastu,aurka,vastaan,contre,tsjin,aghaidh,erbyn,contra,da,e ku e ia,tiv thaiv,ellen,megide,melawan,contro,marang,dijî,adversus,pret,prieš,géint,terhadap,manohitra,kontra,ki,tegen,imot,przeciwko,contra,împotriva,faasaga i,khahlanong le,pamusoro,ka dhanka ah,dhidi,mot,ngalawan,laban sa,karşısında,qarshi,chống lại,phezu,lodi si,ngokumelene
apud,next to,langs,ngjitur me,növbəti,növbəti,pored,Al costat de,sunod sa,vedle,pafupi ndi,accantu à,bò kote,pored,ved siden af,vedľa,zraven,in aice le,við hliðina á,cerca de,kõrval,Alboan,vieressä,à côté de,Njonken,Ri taobh,i'r nesaf,xunto a,kusa da,kokoke,tom ntej no mus,mellett,na-esote,di samping,accanto a,sakbanjure,lê kêleka,proximus,blakus,šalia,niewend,ke seterusnya,eo akaikin'ny,ħdejn,ki muri,naast,ved siden av,obok,perto de,lângă,sosoo atu,haufi le,padyo ne,u dhaw,karibu na,bredvid,disapalih,sunod sa,"bitişik, yanında",ning yonida,kế bên,ecaleni kwe,ti o tele,eduze ne
ĉirkaŭ,around,rondom,rreth,ətrafında,ətrafında,oko,al voltant,sa palibot,kolem,kuzungulira,attornu,alantou,oko,rundt om,okolo,okoli,thart,um,alrededor,ümber,inguruan,noin,autour,rûnom,timcheall,o gwmpas,en torno a,kusa da,a puni,nyob ib ncig ntawm,körül,gburugburu,sekitar,in giro,sak,dorhal,circum,apkārt,aplink,ronderëm,sekitar,manodidina,madwar,a tawhio noa,in de omgeving van,rundt,na około,por aí,în jurul,solo,pota,kumativi,ku dhowaad,karibu,runt om,kira-kira,sa paligid,etrafında,atrofida,xung quanh,emhlabeni,ni ayika,emhlabeni
preter,beyond,buite,përtej,kənarda,kənarda,izvan,més enllà,sa unahan,mimo,kupitirira,cavallieri,pi lwen pase,Iznad,ud over,mimo,onkraj,ina dhiaidh sin,utan,más allá,üle,haratago,ulkopuolella,au-delà,foarby,taobh a-muigh,y tu hwnt i,ademais,bayan,mao aku,tshaj,túl,n'ofè,luar,al di là,ngluwihi,wêda,ultra,pēc,už,doriwwer eraus,luar,mihoatra,lil hinn,tera taha o,voorbij,bortenfor,poza,além,dincolo,i tala atu,ka nģ'ane,kudarika,ka baxsan,zaidi,bortom,di luar,lampas,ötesinde,orqasida,vượt ra ngoài,phesheya,ni ìha,nangale
tra,through,deur,përmes,vasitəsilə,vasitəsilə,kroz,a través d',pinaagi sa,přes,kudzera,à traversu,a,kroz,igennem,skrz,skozi,trí,í gegnum,mediante,läbi,bidez,kautta,par,troch,tro,trwy,mediante,ta hanyar,ma,los ntawm,keresztül,site,melalui,attraverso,liwat,bi saya,propter,cauri,per,duerch,melalui,ny alalan ',permezz,i roto i,door,gjennom,przez,através,prin,e ala i,ka,kuburikidza,iyada oo loo marayo,kwa njia ya,genom,ngaliwatan,sa pamamagitan ng,vasıtasıyla,ichidan,xuyên qua,nge,nipasẹ,ngokusebenzisa
trans,Across,oor,nëpër,Across,Across,preko,A través de,Sa tibuok,Přes,kudutsa,à traversu,Tou patou nan,Preko,Et kors,naprieč,Across,Ar fud,yfir,A través de,Üle,Across,poikki,À travers,Oer,Thar,Ar draws,transversalmente,fadin,ma,Nyob,Át,Gburugburu,di,Attraverso,Across,Li ser,per,pāri,per,ganze,seluruh,Across,madwar,Puta noa,Aan de overkant,På tvers,Przez,Através,Peste,atu,ka mose,nepakati,Guud ahaan,Katika,Tvärs över,di peuntas,sa kabila,Karşısında,orqali,Băng qua,Across,kọja,Ngaphesheya
laŭ,according to,Volgens,sipas,görə,görə,prema,d'acord amb,sumala sa,podle,Malinga ndi,secondu,dapre,prema,ifølge,podľa,po navedbah,de réir,samkvæmt,de acuerdo a,vastavalt,ren arabera,mukaan,selon,neffens,A rèir,yn ôl,dacordo con,bisa lafazin,wahi a,raws li,alapján,dabere na,berdasarkan,secondo,miturut,ligor,secundum,saskaņā ar,pagal,entspriechend zu,mengikut,araka ny,skond,rite ki,volgens,i følge,według,de acordo com,conform,ae faimai foi,ho latela,maererano ne,sida laga soo xigtay,kulingana na,enligt,numutkeun kana,ayon kay,göre,ga ko'ra,dựa theo,ngoku ka,gẹgẹ bi,ngokuvumelana ne
po,per,per,për,başına,başına,po,per,matag,za,pa,par,pou chak,po,om,za,na,in aghaidh,á,por,kohta,per,kohti,par,mei,gach,bob,por,da,no,ib,per,kwa,per,per,saben,her,per,par,už,pro,setiap,isaky ny,kull,ia,per,per,za,por,pe,i,ka,pa,per,kwa,per,per,sa,başına,uchun,mỗi,ngalinye,fun,ngayinye
ĉar,because,omdat,sepse,çünki,çünki,jer,perquè,tungod kay,protože,chifukwa,perchè,paske,jer,fordi,pretože,Ker,mar,því,porque,sest,delako,koska,car,omdat,oir,achos,porque,saboda,"no ka mea,",vim hais tias,mert,n'ihi na,karena,perché,amarga,bo,quod,jo,nes,well,kerana,satria,minħabba,no te mea,omdat,fordi,bo,Porque,deoarece,auā,hobane,nekuti,"maxaa yeelay,",kwa sababu,eftersom,margi,dahil sa,Çünkü,chunki,bởi vì,ngenxa,nitori,ngoba