ESPERANTO,ENGLISH,AFRIKÁANS,ALBANIAN,AZERBAIJANI,AZERI,BOSNIAN,CATALAN,CEBUANO,CZECH,CHICHEWA,CORSA,HAITIAN CREOLE,CROATIAN,DANISH,SLOVAK,SLOVENIAN,IRISH,ICELANDIC,SPANISH,ESTONIAN,BASQUE,FINNISH,FRENCH,FRIESIAN,SCOTTISH GAELIC,WELSH,GALICICIAN,HAUSA,HAWUAIAN,HMONG,HUNGARIAN,IGBO,INDONESIAN,ITALIAN,JAVANESE,KURDISH,LATIN,LATVIAN,LITHUANIAN,LUXEMBOURGISH,MALAY,MALAGASY,MALTESE,MAORI,DUTCH,NORWEGIAN,POLISH,PORTUGUESE,ROMANIAN,SAMOAN,SESOTHO,SHONA,SOMALI,SWAHILI,SWEDISH,SUNDANESE,TAGALOG,TURKISH,UZBEK,VIETNAMESE,XHOSA,YORUBA,ZULU,,,
saluton,Hello,hallo,Përshëndetje,Salam,Salam,zdravo,Hola,Hello,Ahoj,Moni,Bonghjornu,Bonjou,zdravo,Hej,Ahoj,zdravo,Dia dhuit,Halló,Hola,Tere,Kaixo,Hei,Bonjour,Hoi,Halò,Helo,Ola,Hello,aloha,Nyob zoo,Helló,Nnọọ,Halo,Ciao,Hello,slav,Salve,Sveiki,Sveiki,Hallo,Hello,Salama,Bongu,Hello,Hallo,Hallo,Witaj,Olá,buna,talofa,Lumela,mhoro,haye,Habari,Hej,Halo,Kamusta,Merhaba,Salom,xin chào,Mholo,Pẹlẹ o,Sawubona,,,
bona,good,goeie,mirë,yaxşı,yaxşı,dobro,bo,maayo,dobrý,zabwino,bene,bon,dobro,godt,dobrý,dobra,maith,góður,bueno,hea,ona,hyvä,bien,goed,math,da,bo,mai kyau,maikaʻi loa,zoo,jó,mma,baik,bene,apik,baş,bonum,labi,Gerai,gutt,baik,tsara,tajba,pai,mooi zo,god,dobry,Boa,bun,lelei,e ntle,kugona,wanaagsan,nzuri,Bra,alus,mabuti,iyi,yaxshi,tốt,Kulungile,ti o dara,okuhle,,,
mateno,morning,oggend,mëngjes,səhər,səhər,jutro,demà,buntag,ráno,m'mawa,mane,maten,jutro,morgen,dopoludnia,jutro,maidin,morgunn,Mañana,hommik,goizean,aamu,Matin,moarntiid,madainn,bore,mañá,safe,kakahiaka,thaum sawv ntxov,reggel,ụtụtụ,pagi,mattina,enjing,sib,mane,rīts,rytas,Moien,pagi,maraina,filgħodu,ata,ochtend-,morgen,ranek,manhã,dimineaţă,taeao,hoseng,mangwanani,subax,asubuhi,morgon-,isuk,umaga,sabah,ertalab,buổi sáng,ntseni,owurọ,ekuseni,,,
post,after,na,pas,sonra,sonra,nakon,després,human sa,po,pambuyo,dopu à,apre,nakon,efter,po,po,tar éis,eftir,después,pärast,ondoren,jälkeen,après,nei,an dèidh,ar ôl,despois,bayan,ma hope o,tom qab,utána,mgbe,setelah,dopo,sawise,piştî,post,pēc,po,no,selepas,rehefa,wara,i muri i,na,etter,po,depois de,după,ina ua mavae,ka mor'a,pashure,ka dib,baada,efter,saatos,pagkatapos,sonra,so'ng,sau,emva,lẹhin,ngemuva,,,
tago,day,dag,ditë,gün,gün,dan,dia,adlaw,den,tsiku,ghjornu,jou,dan,dag,deň,dan,lá,dagur,día,päev,egun,päivä,journée,dei,latha,Dydd,día,rana,lā,hnub,nap,ụbọchị,hari,giorno,dina,roj,dies,diena,diena,Dag,hari,andro,jum,ra,dag,dag,dzień,dia,zi,aso,letsatsi,zuva,maalintii,siku,dag,dinten,araw,gün,kun,ngày,usuku,ọjọ,usuku,,,
meza,middle,middel,mes,orta,orta,srednji,mig,tunga-tunga,střední,pakati,mezzu,mitan,srednji,midten,prostredný,srednji,lár,miðja,medio,keskmine,erdiko,keskimmäinen,milieu,midden,meadhan,canol,medio,tsakiya,waena,nruab nrab,középső,n'etiti,tengah,mezzo,tengah,navîn,medium,vidus,vidurys,Mëtt,pertengahan,afovoany,nofs,waenganui,midden-,midten,środkowy,meio,mijloc,moa,bohareng,pakati,dhexe,katikati,mitten,patengahan,gitna,orta,o'rta,ở giữa,phakathi,arin,maphakathi,,,
nokto,night,nag,natë,gecə,gecə,noć,nit,gabii,noc,usiku,notte,lannwit,noć,nat,nočné,noč,oíche,nótt,noche,öö,gauean,yö,nuit,nacht,oidhche,nos,noite,dare,pō,hmo ntuj,éjszaka,abalị,malam,notte,wengi,şev,noctis,nakts,naktis,Nuecht,malam,alina,lejl,po,nacht,natt,noc,noite,noapte,po,bosiu,husiku,habeenkii,usiku,natt,wengi,gabi,gece,tun,đêm,busuku,night,ubusuku,,,
nomo,name,naam,emër,ad,ad,ime,nom,ngalan,název,dzina,nomu,non,Ime,navn,názov,ime,ainm,nafn,nombre,nimi,izen,nimi,Nom,namme,ainm,enw,nome,sunan,inoa,lub npe,név,aha,nama,nome,jeneng,nav,nomine,nosaukums,vardas,Numm,nama,Anarana,isem,ingoa,naam,Navn,Nazwa,nome,Nume,igoa,lebitso la,zita,magaca,jina,namn,nami,pangalan,isim,ism,Tên,igama,orukọ,igama,,,
esti,to be,om te wees,te behesh,olmaq,olmaq,biti,ser,nga mahimong,být,kukhala,esse,yo dwe,biti,at være,byť,biti,a bheith,að vera,ser - estar,olla,izan,olla,être,wêze,Gu bhith,i fod yn,ser,ya zama,e,yuav tsum tau,lenni,na-,menjadi,essere,dadi,hebûn,esse,būt,būti,sinn,akan menjadi,mba ho,li tkun,ki te waiho,zijn,å være,być,ser estar,a fi,pe 'a,ho ba,kuva,in uu noqdo,kuwa,att vara,janten,maging,olmak,bolmoq,được,ukuba,lati wa ni,uku,,,
farto,health,gesondheid,shëndetësor,sağlamlıq,sağlamlıq,zdravlje,salut,panglawas,zdraví,thanzi,salute,sante,zdravlje,sundhed,zdravie,zdravje,sláinte,heilsa,salud,tervis,osasun,terveys,santé,sûnens,slàinte,iechyd,saúde,kiwon lafiya,ola kino,noj qab haus huv,Egészség,ahụ ike,kesehatan,Salute,kesehatan,tendûrûstî,salutem,veselība,sveikata,Gesondheet,kesihatan,fahasalamana,saħħa,hauora,Gezondheid,Helse,zdrowie,saúde,sănătate,soifua maloloina,bophelo,utano,caafimaadka,afya,hälsa,kasehatan,kalusugan,sağlık,sog'lik,Sức khỏe,zempilo,ilera,impilo,,,
ŝati,like,soos,si,kimi,kimi,poput,M'agrada,sama sa,jako,ngati,cum'è,tankou,Kao,synes godt om,Páči sa mi to,kot,cosúil le,eins,me gusta,nagu,bezalako,Kuten,comme,lykas,mar,fel,como,kamar,e like,zoo li,mint,dị ka,Suka,piace,kaya,çawa,tamquam,tāpat,Kaip,wëll,seperti,toy ny,bħal,rite,Leuk vinden,som,lubić,gostar,ca,pei,joaloka,se,sida,kama,tycka om,siga,gaya ng,sevmek,kabi,giống,ezifana,bi,efana,,,
spekti,watch,Watch,shikojnë,watch,watch,sat,veure,pagbantay,hodinky,wotchi,tot,gade,Gledati,ur,hodinky,ura,faire,horfa,reloj,watch,zaintza,katsella,regarder,horloazje,uaireadair,Gwylio,reloxo,watch,paha o ka wati,watch,néz,nche,menonton,orologio,watch,balgirtin,custodibus,skatīties,Žiūrėti,souguer,jam tangan,Watch,għassa,mataaratanga,kijk maar,se,zegarek,Assistir,ceas,mataala,le lebetse,yokurinda,watch,kuangalia,Kolla på,nonton,panoorin,izlemek,watch,đồng hồ đeo tay,silindile,wo,iwashi,,,
stelo,star,ster,yll,ulduz,ulduz,zvijezda,estrella,nga bitoon,hvězda,nyenyezi,stella,zetwal,zvijezda,stjerne,hviezda,zvezda,star,stjörnu,estrella,täht,izar,tähti,étoile,stjer,star,seren,estrela,star,hoku,lub hnub qub,csillag,kpakpando,bintang,stella,star,stêrk,stella,zvaigzne,žvaigždė,Stär,bintang,kintana,stilla,whetu,ster,stjerne,gwiazda,Estrela,stea,fetū,naleli,nyeredzi,xiddiga,nyota,stjärna,bentang,bituin,star,Yulduz,ngôi sao,star,star,inkanyezi,,,
en,in,in,në,ilə,ilə,u,a,sa,v,mu,in,nan,u,i,v,v,i,í,en,sisse,in,sisään,dans,yn,ann an,yn,en,a,i loko o,nyob rau hauv,ban ben,na,di,nel,ing,li,apud,uz,į,an,dalam,in,fl,i roto i,in,i,w,dentro,în,i,ka,mu,in,katika,i,di,sa,içinde,yilda,trong,ngo,ni,e,,,
ĉielo,sky,lug,qiell,səma,səma,nebo,cel,langit,nebe,thambo,celu,syèl,nebo,himmel,neba,nebo,spéir,himinn,cielo,taevas,zerua,taivas,ciel,himel,sky,awyr,ceo,sama,lani,ntuj,ég,igwe,langit,cielo,langit,asûman,caelum,debesis,dangus,Himmel,langit,lanitra,sema,rangi,lucht,himmel,niebo,céu,cer,lagi,sepakapakeng,denga,samada,anga,himmel,langit,langit,gökyüzü,osmon,bầu trời,isibhakabhaka,ọrun,esibhakabhakeni,,,
rano,frog,padda,bretkocë,qurbağa,qurbağa,žaba,granota,baki,žába,chule,cantucci,krapo,žaba,frø,žaba,žaba,frog,froskur,rana,konn,igel,sammakko,grenouille,kikkert,losgann,llyffant,Visita,rana,rana,Qav,béka,frog,katak,rana,kodhok,beq,ranae,varde,varlė,Frog,katak,sahona,Żrinġ,poraka,kikker,frosk,żaba,rã,broască,rane,Frog,datya,rihii,chura,groda,bangkong,palaka,kurbağa,baqa,con ếch,isele,Ọpọlọ,frog,,,
tomato,tomato,tamatie,domate,pomidor,pomidor,paradajz,tomàquet,tomato,rajče,tomato,pomodoro,tomat,rajčica,tomat,paradajka,paradižnik,trátaí,tómatar,tomate,tomat,tomatea,tomaatti,tomate,tomaat,tomato,tomato,tomate,tumatir,kamako,soob,paradicsom,Tomato,tomat,pomodoro,tomat,bacanê sor,lycopersiciSusceptibility,tomāts,pomidoras,Tomate,tomato,voatabia,tadama,tōmato,tomaat,tomat,pomidor,tomate,roșie,tomato,tamati,domatisi,yaanyo,nyanya,tomat,tomat,kamatis,domates,pomidor,cà chua,itumato,tomati,utamatisi,,,
literaturo,Literature,literatuur,letërsi,ədəbiyyat,ədəbiyyat,literatura,literatura,mga literatura sa,Literatura,Literature,Literature,literati,Književnost,Litteratur,literatúra,literatura,litríocht,bókmenntir,Literatura,kirjandus,literatura,Kirjallisuus,Littérature,Literatuer,litreachas,llenyddiaeth,literatura,Wallafe-wallafe,moʻokalaleo,Literature,Irodalom,Literature,literatur,Letteratura,Sastra,Hêdane,litterae,literatūra,literatūra,Literatur,Kesusasteraan,Haisoratra,letteratura,Literature,Literatuur,Litteratur,Literatura,Literatura,Literatură,tusitusi,lingoliloeng,Literature,suugaanta,Literature,Litteratur,Sastra,panitikan,Edebiyat,adabiyot,Văn chương,Literature,Literature,Kuye kwanyatheliswa izincwadi,,,
historio,history,geskiedenis,histori,tarix,tarix,istorija,història,kasaysayan,Dějiny,mbiri,a storia,istwa,povijest,historie,histórie,zgodovina,stair,Saga,historia,ajalugu,historia,historia,histoire,skiednis,eachdraidh,hanes,historia,tarihin,mōʻaukala,keeb kwm,történelem,akụkọ ihe mere eme,sejarah,storia,Sajarah,dîrok,historia,vēsture,istorija,Geschicht,sejarah,tantara,istorja,hītori,geschiedenis,historie,historia,história,istorie,talafaasolopito,histori,nhoroondo,taariikhda,historia,historia,sajarah,kasaysayan,Tarih,tarix,lịch sử,imbali,itan,umlando,,,
glaso,glass,glas,gotë,şüşə,şüşə,staklo,vidre,bildo,sklenka,galasi,biccheri,vè,staklo,glas,sklo,steklo,gloine,gler,vaso,klaas,beira,lasi-,verre,glês,glainne,gwydr,vidro,gilashin,aniani,iav,üveg,iko,kaca,bicchiere,kaca,cam,speculo,stikls,stiklas,Glas,kaca,fitaratra,ħġieġ,karaehe,glas,glass,szkło,vidro,sticlă,tioata,khalase,girazi,galaas,kioo,glas,kaca,salamin,bardak,shisha,cốc thủy tinh,glass,gilasi,ingilazi,,,
monto,mountain,berg,mal,dağ,dağ,planina,muntanya,nga bukid,hora,phiri,muntagna,mòn,planina,bjerg,vrch,gora,sliabh,fjall,montaña,mägi,mendi,vuori,Montagne,berch,beinn,mynydd,montaña,dutse,mauna,roob,hegy,ugwu,gunung,montagna,gunung,çîya,mons,kalns,kalnas,Bierg,gunung,tendrombohitra,muntanji,maunga,berg,fjell,Góra,montanha,Munte,mauga,lithaba,gomo,buurta,mlima,berg,gunung,bundok,dağ,tog,núi,ntaba,oke,entabeni,,,
idioto,idiot,idioot,idiot,idiot,idiot,idiot,idiota,buangbuang,idiot,chitsiru,baccalà,moun sòt,idiot,idiot,idiot,idiot,leathcheann,hálfviti,idiota,idioot,idiota,idiootti,idiot,idioat,Idiot,idiot,idiota,wawa,hupo,ruam,idióta,onye iberibe,orang bodoh,idiota,bodho,dînê,stultus,idiots,idiotas,Idiote,bodoh,adala,idjota,pōrangi,idioot,idiot,idiota,idiota,idiot,tagata valea,sephoqo,fuza,doqon,idiot,idiot,jelema bodo,tanga,salak,tentak,kẻ ngốc,silima,ode,silima,,,
persono,person,persoon,person,şəxs,şəxs,osoba,persona,tawo,osoba,munthu,persona,moun,osoba,person,človek,oseba,duine,maður,persona,isik,pertsona,henkilö,la personne,persoan,neach,person,persoa,mutum,kanaka,tus neeg,személy,onye,orang,persona,wong,şexs,hominem,persona,žmogus,Persoun,orang,olona,persuna,tangata,persoon,person,osoba,pessoa,persoană,tagata,motho,munhu,qof,mtu,person,jelema,tao,kişi,shaxs,người,umntu,eniyan,umuntu,,,
kanti,sing,Sing,Sing,sing,sing,Sing,cantar,Pag-awit,zpívat,Imbirani,u,Chante,pjevati,synge,sing,Sing,Sing,Sing,canta,Sing,Sing,laulaa,chanter,sjonge,sing,Sing,Sing,Ku raira waƙa,E mele aku,Hu,énekel,Sing,bernyanyi,cantare,sing,stran,sing,Sing,dainuoti,sangen,sing,Mihirà,nijet,Waiata,zingen,synge,śpiewać,cantar,cânta,pepese,re bine,Imbirai,gabya,kuimba,sjunga,Sing saha,sing,şarkı söyle,Sing,hát,Vumani,KỌRIN,Sing,,,
dum,while,terwyl,derisa,isə,isə,dok,mentre,samtang,zatímco,pamene,mentri,pandan y ap,dok,mens,zatiaľ čo,medtem,cé,en,mientras,kuigi,bitartean,sillä aikaa,tandis que,wylst,fhad 'sa,tra,mentres,yayin da,ana,thaum,míg,mgbe,sementara,mentre,nalika,demek,dum,kamēr,o,iwwerdeems,manakala,raha mbola,filwaqt li,ia,terwijl,samtidig som,podczas,enquanto,in timp ce,aʻo,ha,apo,halka,wakati,medan,waktu,habang,süre,paytda,trong khi,kanti,nigba ti,ngenkathi,,,
ili,they,hulle,ata,onlar,onlar,oni,ells,sila,ony,iwo,ch'elli,yo,oni,de,oni,so,siad,þeir,ellos,nad,haiek,ne,ils,sy,iad a ',maent yn,eles,su,"ka mea,",lawv,ők,ha,mereka,essi,padha,ew,quod,viņi,jie,se,mereka,izy ireo,huma,ratou,ze,de,one,eles,ei,latou,ba,ivo,waxay,wao,de,maranehna,sila,onlar,ular,họ,bona,nwọn si,bona,,,
fari,make,make,make,etmək,etmək,make,maquillatge,sa paghimo sa,udělat,wodzipangitsa,fàmi,fè,napraviti,lave,urobiť,Znamka,Déan,gera,hacer,tegema,make,tehdä,faire,meitsje,a dhèanamh,Creu,make,make,hana,ua,make,anam,membuat,rendere,make,kirin,facere,veidot,makiažo,maachen,make,manao,jagħmlu,hanga,maken,gjøre,robić,faço,face,e faia,ho etsa,kuitawo,samaynaysaa,fanya,göra,make,make,Yapmak,make,làm,yenza,Rii,ukwakheka,,,
muziko,music,musiek,muzikë,musiqi,musiqi,muzika,música,musika,hudba,nyimbo,musica,Mizik,"glazba, muzika",musik,hudba,glasba,Ceol,tónlist,música,muusika,musika,musiikki,la musique,muzyk,ceòl,cerddoriaeth,música,music,mele,music,zene,music,musik,musica,music,mûzîk,musicorum,mūzika,muzika,Musek,muzik,mozika,mużika,waiata,muziek-,musikk,muzyka,música,muzică,pese,mino,mumhanzi,music,muziki,musik,musik,musika,müzik,musiqa,Âm nhạc,umculo,music,umculo,,,
kaj,and,en,dhe,və,və,i,i,ug,a,ndi,e,ak,i,og,a,in,agus,og,y,ja,eta,ja,et,en,agus,ac,e,da kuma,a me ka,thiab,és,na,dan,e,lan,û,et,un,ir,an,dan,ary,u,a,en,og,i,e,și,ma,le,uye,iyo,na,och,jeung,at,ve,va,và,yaye,ati,futhi,,,
povi,be able to,in staat wees om,te jesh i afte te,mümkün ola,mümkün ola,biti u stanju da,ser capaç de,makahimo sa,být schopný,athe,sì capace di,kapab,biti u mogućnosti,være i stand til,byť schopný,biti sposoben,a bheith ábalta,vera fær um að,ser capaz de,suutma,gai izan,pystyä,être capable de,yn steat om,A bhith comasach gu bhith,yn gallu,ser quen de,iya,hiki,yuav tau,képesnek lenni,-enwe ike,mampu untuk,essere in grado di,bisa,dikarî,posse,būt spējīgam,galėti,fäeg sinn,mampu untuk,afaka,tkun tista,e taea ki,in staat zijn om,være i stand til,być w stanie,ser capaz de,a fi capabil să,pe a mafai,ba kgona ho,kukwanisa,inay awoodaan inay,na uwezo wa,kunna,tiasa,ma,yapabilmek,qila olish,có thể,kwazi uku,ni anfani lati,bakwazi,,,
dormi,sleep,slaap,gjumë,yuxu,yuxu,san,somni,pagkatulog,spát,kugona,sonnu,dòmi,spavati,søvn,spánok,spanje,codladh,svefn,dormir,uni,loaren,nukkua,sommeil,sliep,cadal,cysgu,sono,barci,hiamoe,pw tsaug zog,alvás,ụra,tidur,dormire,turu,xew,somnum,Gulēt,miegas,Schlof,tidur,matory,irqad,moe,slaap,søvn,sen,dormir,dormi,moe,ho robala,hope,hurdo,usingizi,sömn,sare,pagtulog,uyku,uyqu,ngủ,ubuthongo,orun,ubuthongo,,,
paco,peace,vrede,paqe,sülh,sülh,mir,pau,kalinaw,mír,mtendere,di paci,lapè,mir,fred,mier,mir,síocháin,friður,paz,rahu,bakea,rauha,paix,frede,sìth,heddwch,paz,zaman lafiya,ka maluhia,kev sib haum xeeb,béke,udo,perdamaian,pace,tentrem,aşîtî,pax,miers,taika,Fridden,keamanan,fandriampahalemana,paċi,te rongo,vrede,fred,pokój,Paz,pace,filemu,khotso,runyararo,nabadda,amani,fred,katentreman,kapayapaan,Barış,tinchlik,Sự thanh bình,uxolo,alafia,ukuthula,,,
danki,thank,dankie,falenderim,təşəkkür edirəm,təşəkkür edirəm,zahvaliti,agrair,sa pagpasalamat,poděkovat,zikomo,ringraziu,mèsi,zahvaliti,takke,poďakovať,hvala,go raibh maith,þakka,gracias,tänama,eskerrak,kiittää,remercier,tankje,taing a thoirt,diolch,grazas,gode,aloha aku nei au,ua tsaug,köszönet,na-ekele,terima,grazie,matur,sipaskirin,gratias ago,pateikties,dėkoti,Merci,terima kasih,misaotra,nirringrazzja,whakawhetai,bedanken,takke,podziękować,obrigado,mulțumire,faʻafetai,leboha,tenda,mahad,kuwashukuru,tacka,ngahatur nuhun,pasalamatan,teşekkür,rahmat,cảm tạ,ukubonga,dúpẹ lọwọ,ukubonga,,,
al,to,om,në,qədər,qədər,u,per,sa,na,kuti,à,,do,til,na,za,chun,að,a,et,to,että,à,nei,gu,i,para,to,i ka,rau,nak nek,ka,untuk,per,kanggo,ber,ut,līdz,į,ze,kepada,ny,li,ki,naar,til,do,para,la,i,ho,kuti,si ay u,kwa,till,ka,sa,için,uchun,đến,ukuba,to,ukuze,,,
hundo,dog,hond,qen,it,it,pas,gos,iro,Pes,galu,ghjacaru,chen,pas,hund,pes,pes,madra,hundur,perro,koer,txakur,koira,chien,hûn,cù,chi,can,kare,'īlio,aub,kutya,nkịta,anjing,cane,asu,seh,canis,suns,šuo,Hond,anjing,amboa,kelb,kuri,hond,hund,pies,cachorro,câine,maile,ntja,imbwa,Eey,mbwa,hund,anjing,aso,köpek,it,chó,inja,aja,inja,,,
esti,to be,om te wees,te behesh,olmaq,olmaq,biti,ser,nga mahimong,být,kukhala,esse,yo dwe,biti,at være,byť,biti,a bheith,að vera,ser - estar,olla,izan,olla,être,wêze,Gu bhith,i fod yn,ser,ya zama,e,yuav tsum tau,lenni,na-,menjadi,essere,dadi,hebûn,esse,būt,būti,sinn,akan menjadi,mba ho,li tkun,ki te waiho,zijn,å være,być,ser estar,a fi,pe 'a,ho ba,kuva,in uu noqdo,kuwa,att vara,janten,maging,olmak,bolmoq,được,ukuba,lati wa ni,uku,,,
besto,animal,dier,kafshë,heyvan,heyvan,životinja,animal,nga mananap,zvíře,chinyama,animale,bèt,životinja,dyr,zviera,živali,ainmhithe,dýr,animal,loom,animal,eläin,animal,bist,beathach,anifeiliaid,animal,dabba,holoholona,tsiaj,állat,anụmanụ,satwa,animale,kewan,teba,"animalis,",dzīvnieks,gyvūnas,Déier,haiwan,biby,annimali,kararehe,dier,dyr,zwierzę,animal,animal,manu,phoofolo,mhuka,xoolaha,mnyama,djur-,hewan,hayop,hayvan,hayvon,thú vật,isilwanyana,eranko,isilwane,,,
ŝi,she,sy,ajo,o,o,ona,ella,siya,ona,iye,hà,li,ona,hun,ona,je,sí,hún,ella,ta,zuen,hän,elle,sy,i,hi,ela,ta,"ka mea,",nws,ő,ọ,dia,lei,dheweke,wê,quæ,viņa,ji,si,dia,izy,hi,ia,zij,hun,Ona,ela,ea,ia,o,iye,ayay,yeye,hon,manehna,siya,o,u,bà ấy,yena,on,yena,,,
ĝi,it,Dit,ajo,o,o,to,el,kini,to,izo,si,li,to,det,to,je,sé,það,eso,see,da,se,il,it,e,mae'n,el,shi,ia,nws,azt,ọ,Itu,esso,iku,ew,quod,tā,jis,et,ia,izany,dan,reira,het,den,to,isto,aceasta,na,e,izvozvo,waxaa,ni,den,ieu,ito,o,u,nó,ngayo,o,ke,,,
ni,we,ons,ne,Biz,Biz,mi,nosaltres,kita,my,ife,avemu,nou,mi,vi,my,smo,táimid ag,við,nosotros,me,dugu,me,nous,wy,tha sinn a ',rydym yn,Nós,mu,mākou,peb,mi,anyị,kita,noi,kita,em,nobis,mēs,mes,mir,kita,isika,aħna,tatou,wij,vi,my,nós,noi,tatou,re,isu,anaga,sisi,vi,urang,kami,Biz,bizlar,chúng tôi,thina,a,thina,,,
vi,you,jy,ju,Sən,Sən,vi,vostè,ikaw,vy,inu,tu,ou,vas,du,vy,vi,tú,þú,tú,sa,zuk,sinä,vous,jo,thu,chi,vostede,ka,oe,koj,te,ị,kamu,voi,sampeyan,hûn,vos,tu,tu,Dir,anda,ianao,inti,koe,u,du,ty,você,tu,oe,o,iwe,aad,wewe,du,anjeun,ikaw,sen,siz,bạn,wena,ti o,wena,,,
demando,question,vraag,pyetje,sual,sual,pitanje,pregunta,pangutana,otázka,funso,dumanna,kesyon,pitanje,spørgsmål,otázka,vprašanje,ceist,spurning,pregunta,küsimus,Galdera,kysymys,question,fraach,cheist,cwestiwn,pregunta,tambaya,ninau,lo lus nug,kérdés,ajụjụ,pertanyaan,domanda,pitakonan,pirs,quaestio,jautājums,klausimas,Fro,soalan,fanontaniana,kwistjoni,pātai,vraag,spørsmål,pytanie,questão,întrebare,fesili,potso,mubvunzo,su'aal,swali,fråga,tatanya,tanong,soru,savol,câu hỏi,umbuzo,ibeere,umbuzo,,,
